epoch;lr;iou;obj;cls;total;map05;person_ap05;bicycle_ap05;car_ap05;motorcycle_ap05;airplane_ap05;bus_ap05;train_ap05;truck_ap05;boat_ap05;traffic light_ap05;fire hydrant_ap05;stop sign_ap05;parking meter_ap05;bench_ap05;bird_ap05;cat_ap05;dog_ap05;horse_ap05;sheep_ap05;cow_ap05;elephant_ap05;bear_ap05;zebra_ap05;giraffe_ap05;backpack_ap05;umbrella_ap05;handbag_ap05;tie_ap05;suitcase_ap05;frisbee_ap05;skis_ap05;snowboard_ap05;sports ball_ap05;kite_ap05;baseball bat_ap05;baseball glove_ap05;skateboard_ap05;surfboard_ap05;tennis racket_ap05;bottle_ap05;wine glass_ap05;cup_ap05;fork_ap05;knife_ap05;spoon_ap05;bowl_ap05;banana_ap05;apple_ap05;sandwich_ap05;orange_ap05;broccoli_ap05;carrot_ap05;hot dog_ap05;pizza_ap05;donut_ap05;cake_ap05;chair_ap05;couch_ap05;potted plant_ap05;bed_ap05;dining table_ap05;toilet_ap05;tv_ap05;laptop_ap05;mouse_ap05;remote_ap05;keyboard_ap05;cell phone_ap05;microwave_ap05;oven_ap05;toaster_ap05;sink_ap05;refrigerator_ap05;book_ap05;clock_ap05;vase_ap05;scissors_ap05;teddy bear_ap05;hair drier_ap05;toothbrush_ap05;robot_ap05;turret_ap05;obstacle_ap05
10;0.0001;0.2782060205936432;0.008236754685640335;0.7767753601074219;3.134211540222168;0.23857143305899703;0.41839669375152133;0.16373703007688253;0.17149463967872797;0.33382831403901914;0.5505172500417596;0.4542057788667325;0.5503342833422661;0.13731825185570687;0.1006618560341642;0.07499304595112766;0.4573670921807437;0.46726699231226326;0.1747491689837733;0.10738549836434196;0.1507279908168805;0.4535405527356564;0.2912829160174113;0.3354640460465818;0.2779260723385241;0.26292188103636216;0.47204569306678523;0.5153343374582832;0.6351360375748852;0.6218717815750111;0.01668724894932098;0.15428140934798587;0.012259180635401407;0.1051296804015814;0.08504924065985184;0.22538768711682491;0.10325212421532567;0.06706190849427947;0.16676992654528597;0.2790846706170639;0.10656045720461257;0.14698749637239944;0.16536010264577056;0.16351762477694842;0.24917671768747626;0.05565716112513549;0.068844358017437;0.1268820796196001;0.042998593143934075;0.01810049594167079;0.007527442943366537;0.1588938504866204;0.11959145911751105;0.02149666046324999;0.2578144449608487;0.18908564144464296;0.16334408017635405;0.08008840150742116;0.11745928989661818;0.3804116267036508;0.21060225090747925;0.13003053061968295;0.06705052173794065;0.25821480056049395;0.11131731720939345;0.3570496034707546;0.19002736689731417;0.4106697831657074;0.34458098139131177;0.3575681254046654;0.282569431297855;0.02137530742323432;0.3369750587276278;0.13003889497593493;0.2601199618966452;0.19425299316912703;0.0;0.18669711951901652;0.22864878766139102;0.01599464393139299;0.35902182462962706;0.10225959204630411;0.06618086865894826;0.24073082218941122;0.0;0.05127298444130127;0.9035758289721855;0.9754693947667898;0.9758658828616178
11;0.0001;0.35511988401412964;0.013389835134148598;1.3095924854278564;4.364789009094238;0.23857143305899703;0.41839669375152133;0.16373703007688253;0.17149463967872797;0.33382831403901914;0.5505172500417596;0.4542057788667325;0.5503342833422661;0.13731825185570687;0.1006618560341642;0.07499304595112766;0.4573670921807437;0.46726699231226326;0.1747491689837733;0.10738549836434196;0.1507279908168805;0.4535405527356564;0.2912829160174113;0.3354640460465818;0.2779260723385241;0.26292188103636216;0.47204569306678523;0.5153343374582832;0.6351360375748852;0.6218717815750111;0.01668724894932098;0.15428140934798587;0.012259180635401407;0.1051296804015814;0.08504924065985184;0.22538768711682491;0.10325212421532567;0.06706190849427947;0.16676992654528597;0.2790846706170639;0.10656045720461257;0.14698749637239944;0.16536010264577056;0.16351762477694842;0.24917671768747626;0.05565716112513549;0.068844358017437;0.1268820796196001;0.042998593143934075;0.01810049594167079;0.007527442943366537;0.1588938504866204;0.11959145911751105;0.02149666046324999;0.2578144449608487;0.18908564144464296;0.16334408017635405;0.08008840150742116;0.11745928989661818;0.3804116267036508;0.21060225090747925;0.13003053061968295;0.06705052173794065;0.25821480056049395;0.11131731720939345;0.3570496034707546;0.19002736689731417;0.4106697831657074;0.34458098139131177;0.3575681254046654;0.282569431297855;0.02137530742323432;0.3369750587276278;0.13003889497593493;0.2601199618966452;0.19425299316912703;0.0;0.18669711951901652;0.22864878766139102;0.01599464393139299;0.35902182462962706;0.10225959204630411;0.06618086865894826;0.24073082218941122;0.0;0.05127298444130127;0.9035758289721855;0.9754693947667898;0.9758658828616178
12;0.0001;0.3429120182991028;0.013640709221363068;1.7168558835983276;4.678403377532959;0.23857143305899703;0.41839669375152133;0.16373703007688253;0.17149463967872797;0.33382831403901914;0.5505172500417596;0.4542057788667325;0.5503342833422661;0.13731825185570687;0.1006618560341642;0.07499304595112766;0.4573670921807437;0.46726699231226326;0.1747491689837733;0.10738549836434196;0.1507279908168805;0.4535405527356564;0.2912829160174113;0.3354640460465818;0.2779260723385241;0.26292188103636216;0.47204569306678523;0.5153343374582832;0.6351360375748852;0.6218717815750111;0.01668724894932098;0.15428140934798587;0.012259180635401407;0.1051296804015814;0.08504924065985184;0.22538768711682491;0.10325212421532567;0.06706190849427947;0.16676992654528597;0.2790846706170639;0.10656045720461257;0.14698749637239944;0.16536010264577056;0.16351762477694842;0.24917671768747626;0.05565716112513549;0.068844358017437;0.1268820796196001;0.042998593143934075;0.01810049594167079;0.007527442943366537;0.1588938504866204;0.11959145911751105;0.02149666046324999;0.2578144449608487;0.18908564144464296;0.16334408017635405;0.08008840150742116;0.11745928989661818;0.3804116267036508;0.21060225090747925;0.13003053061968295;0.06705052173794065;0.25821480056049395;0.11131731720939345;0.3570496034707546;0.19002736689731417;0.4106697831657074;0.34458098139131177;0.3575681254046654;0.282569431297855;0.02137530742323432;0.3369750587276278;0.13003889497593493;0.2601199618966452;0.19425299316912703;0.0;0.18669711951901652;0.22864878766139102;0.01599464393139299;0.35902182462962706;0.10225959204630411;0.06618086865894826;0.24073082218941122;0.0;0.05127298444130127;0.9035758289721855;0.9754693947667898;0.9758658828616178
13;0.0001;0.31765052676200867;0.01195971854031086;1.111853003501892;3.8444128036499023;0.23857143305899703;0.41839669375152133;0.16373703007688253;0.17149463967872797;0.33382831403901914;0.5505172500417596;0.4542057788667325;0.5503342833422661;0.13731825185570687;0.1006618560341642;0.07499304595112766;0.4573670921807437;0.46726699231226326;0.1747491689837733;0.10738549836434196;0.1507279908168805;0.4535405527356564;0.2912829160174113;0.3354640460465818;0.2779260723385241;0.26292188103636216;0.47204569306678523;0.5153343374582832;0.6351360375748852;0.6218717815750111;0.01668724894932098;0.15428140934798587;0.012259180635401407;0.1051296804015814;0.08504924065985184;0.22538768711682491;0.10325212421532567;0.06706190849427947;0.16676992654528597;0.2790846706170639;0.10656045720461257;0.14698749637239944;0.16536010264577056;0.16351762477694842;0.24917671768747626;0.05565716112513549;0.068844358017437;0.1268820796196001;0.042998593143934075;0.01810049594167079;0.007527442943366537;0.1588938504866204;0.11959145911751105;0.02149666046324999;0.2578144449608487;0.18908564144464296;0.16334408017635405;0.08008840150742116;0.11745928989661818;0.3804116267036508;0.21060225090747925;0.13003053061968295;0.06705052173794065;0.25821480056049395;0.11131731720939345;0.3570496034707546;0.19002736689731417;0.4106697831657074;0.34458098139131177;0.3575681254046654;0.282569431297855;0.02137530742323432;0.3369750587276278;0.13003889497593493;0.2601199618966452;0.19425299316912703;0.0;0.18669711951901652;0.22864878766139102;0.01599464393139299;0.35902182462962706;0.10225959204630411;0.06618086865894826;0.24073082218941122;0.0;0.05127298444130127;0.9035758289721855;0.9754693947667898;0.9758658828616178
14;0.0001;0.2870820462703705;0.011186517775058746;1.071100115776062;3.546741008758545;0.23857143305899703;0.41839669375152133;0.16373703007688253;0.17149463967872797;0.33382831403901914;0.5505172500417596;0.4542057788667325;0.5503342833422661;0.13731825185570687;0.1006618560341642;0.07499304595112766;0.4573670921807437;0.46726699231226326;0.1747491689837733;0.10738549836434196;0.1507279908168805;0.4535405527356564;0.2912829160174113;0.3354640460465818;0.2779260723385241;0.26292188103636216;0.47204569306678523;0.5153343374582832;0.6351360375748852;0.6218717815750111;0.01668724894932098;0.15428140934798587;0.012259180635401407;0.1051296804015814;0.08504924065985184;0.22538768711682491;0.10325212421532567;0.06706190849427947;0.16676992654528597;0.2790846706170639;0.10656045720461257;0.14698749637239944;0.16536010264577056;0.16351762477694842;0.24917671768747626;0.05565716112513549;0.068844358017437;0.1268820796196001;0.042998593143934075;0.01810049594167079;0.007527442943366537;0.1588938504866204;0.11959145911751105;0.02149666046324999;0.2578144449608487;0.18908564144464296;0.16334408017635405;0.08008840150742116;0.11745928989661818;0.3804116267036508;0.21060225090747925;0.13003053061968295;0.06705052173794065;0.25821480056049395;0.11131731720939345;0.3570496034707546;0.19002736689731417;0.4106697831657074;0.34458098139131177;0.3575681254046654;0.282569431297855;0.02137530742323432;0.3369750587276278;0.13003889497593493;0.2601199618966452;0.19425299316912703;0.0;0.18669711951901652;0.22864878766139102;0.01599464393139299;0.35902182462962706;0.10225959204630411;0.06618086865894826;0.24073082218941122;0.0;0.05127298444130127;0.9035758289721855;0.9754693947667898;0.9758658828616178
15;0.0001;0.3557645082473755;0.009800768457353115;1.3049815893173218;4.307909965515137;0.23857143305899703;0.41839669375152133;0.16373703007688253;0.17149463967872797;0.33382831403901914;0.5505172500417596;0.4542057788667325;0.5503342833422661;0.13731825185570687;0.1006618560341642;0.07499304595112766;0.4573670921807437;0.46726699231226326;0.1747491689837733;0.10738549836434196;0.1507279908168805;0.4535405527356564;0.2912829160174113;0.3354640460465818;0.2779260723385241;0.26292188103636216;0.47204569306678523;0.5153343374582832;0.6351360375748852;0.6218717815750111;0.01668724894932098;0.15428140934798587;0.012259180635401407;0.1051296804015814;0.08504924065985184;0.22538768711682491;0.10325212421532567;0.06706190849427947;0.16676992654528597;0.2790846706170639;0.10656045720461257;0.14698749637239944;0.16536010264577056;0.16351762477694842;0.24917671768747626;0.05565716112513549;0.068844358017437;0.1268820796196001;0.042998593143934075;0.01810049594167079;0.007527442943366537;0.1588938504866204;0.11959145911751105;0.02149666046324999;0.2578144449608487;0.18908564144464296;0.16334408017635405;0.08008840150742116;0.11745928989661818;0.3804116267036508;0.21060225090747925;0.13003053061968295;0.06705052173794065;0.25821480056049395;0.11131731720939345;0.3570496034707546;0.19002736689731417;0.4106697831657074;0.34458098139131177;0.3575681254046654;0.282569431297855;0.02137530742323432;0.3369750587276278;0.13003889497593493;0.2601199618966452;0.19425299316912703;0.0;0.18669711951901652;0.22864878766139102;0.01599464393139299;0.35902182462962706;0.10225959204630411;0.06618086865894826;0.24073082218941122;0.0;0.05127298444130127;0.9035758289721855;0.9754693947667898;0.9758658828616178
16;0.0001;0.38253140449523926;0.009190108627080917;1.1439059972763062;4.351199150085449;0.23857143305899703;0.41839669375152133;0.16373703007688253;0.17149463967872797;0.33382831403901914;0.5505172500417596;0.4542057788667325;0.5503342833422661;0.13731825185570687;0.1006618560341642;0.07499304595112766;0.4573670921807437;0.46726699231226326;0.1747491689837733;0.10738549836434196;0.1507279908168805;0.4535405527356564;0.2912829160174113;0.3354640460465818;0.2779260723385241;0.26292188103636216;0.47204569306678523;0.5153343374582832;0.6351360375748852;0.6218717815750111;0.01668724894932098;0.15428140934798587;0.012259180635401407;0.1051296804015814;0.08504924065985184;0.22538768711682491;0.10325212421532567;0.06706190849427947;0.16676992654528597;0.2790846706170639;0.10656045720461257;0.14698749637239944;0.16536010264577056;0.16351762477694842;0.24917671768747626;0.05565716112513549;0.068844358017437;0.1268820796196001;0.042998593143934075;0.01810049594167079;0.007527442943366537;0.1588938504866204;0.11959145911751105;0.02149666046324999;0.2578144449608487;0.18908564144464296;0.16334408017635405;0.08008840150742116;0.11745928989661818;0.3804116267036508;0.21060225090747925;0.13003053061968295;0.06705052173794065;0.25821480056049395;0.11131731720939345;0.3570496034707546;0.19002736689731417;0.4106697831657074;0.34458098139131177;0.3575681254046654;0.282569431297855;0.02137530742323432;0.3369750587276278;0.13003889497593493;0.2601199618966452;0.19425299316912703;0.0;0.18669711951901652;0.22864878766139102;0.01599464393139299;0.35902182462962706;0.10225959204630411;0.06618086865894826;0.24073082218941122;0.0;0.05127298444130127;0.9035758289721855;0.9754693947667898;0.9758658828616178
17;0.0001;0.3113144636154175;0.010393467731773853;0.9850200414657593;3.641831398010254;0.23857143305899703;0.41839669375152133;0.16373703007688253;0.17149463967872797;0.33382831403901914;0.5505172500417596;0.4542057788667325;0.5503342833422661;0.13731825185570687;0.1006618560341642;0.07499304595112766;0.4573670921807437;0.46726699231226326;0.1747491689837733;0.10738549836434196;0.1507279908168805;0.4535405527356564;0.2912829160174113;0.3354640460465818;0.2779260723385241;0.26292188103636216;0.47204569306678523;0.5153343374582832;0.6351360375748852;0.6218717815750111;0.01668724894932098;0.15428140934798587;0.012259180635401407;0.1051296804015814;0.08504924065985184;0.22538768711682491;0.10325212421532567;0.06706190849427947;0.16676992654528597;0.2790846706170639;0.10656045720461257;0.14698749637239944;0.16536010264577056;0.16351762477694842;0.24917671768747626;0.05565716112513549;0.068844358017437;0.1268820796196001;0.042998593143934075;0.01810049594167079;0.007527442943366537;0.1588938504866204;0.11959145911751105;0.02149666046324999;0.2578144449608487;0.18908564144464296;0.16334408017635405;0.08008840150742116;0.11745928989661818;0.3804116267036508;0.21060225090747925;0.13003053061968295;0.06705052173794065;0.25821480056049395;0.11131731720939345;0.3570496034707546;0.19002736689731417;0.4106697831657074;0.34458098139131177;0.3575681254046654;0.282569431297855;0.02137530742323432;0.3369750587276278;0.13003889497593493;0.2601199618966452;0.19425299316912703;0.0;0.18669711951901652;0.22864878766139102;0.01599464393139299;0.35902182462962706;0.10225959204630411;0.06618086865894826;0.24073082218941122;0.0;0.05127298444130127;0.9035758289721855;0.9754693947667898;0.9758658828616178
18;0.0001;0.3127244710922241;0.013750139623880386;0.9926937818527222;3.714491844177246;0.23857143305899703;0.41839669375152133;0.16373703007688253;0.17149463967872797;0.33382831403901914;0.5505172500417596;0.4542057788667325;0.5503342833422661;0.13731825185570687;0.1006618560341642;0.07499304595112766;0.4573670921807437;0.46726699231226326;0.1747491689837733;0.10738549836434196;0.1507279908168805;0.4535405527356564;0.2912829160174113;0.3354640460465818;0.2779260723385241;0.26292188103636216;0.47204569306678523;0.5153343374582832;0.6351360375748852;0.6218717815750111;0.01668724894932098;0.15428140934798587;0.012259180635401407;0.1051296804015814;0.08504924065985184;0.22538768711682491;0.10325212421532567;0.06706190849427947;0.16676992654528597;0.2790846706170639;0.10656045720461257;0.14698749637239944;0.16536010264577056;0.16351762477694842;0.24917671768747626;0.05565716112513549;0.068844358017437;0.1268820796196001;0.042998593143934075;0.01810049594167079;0.007527442943366537;0.1588938504866204;0.11959145911751105;0.02149666046324999;0.2578144449608487;0.18908564144464296;0.16334408017635405;0.08008840150742116;0.11745928989661818;0.3804116267036508;0.21060225090747925;0.13003053061968295;0.06705052173794065;0.25821480056049395;0.11131731720939345;0.3570496034707546;0.19002736689731417;0.4106697831657074;0.34458098139131177;0.3575681254046654;0.282569431297855;0.02137530742323432;0.3369750587276278;0.13003889497593493;0.2601199618966452;0.19425299316912703;0.0;0.18669711951901652;0.22864878766139102;0.01599464393139299;0.35902182462962706;0.10225959204630411;0.06618086865894826;0.24073082218941122;0.0;0.05127298444130127;0.9035758289721855;0.9754693947667898;0.9758658828616178
19;0.0001;0.30108365416526794;0.009572886861860752;1.0992121696472168;3.6610476970672607;0.23857143305899703;0.41839669375152133;0.16373703007688253;0.17149463967872797;0.33382831403901914;0.5505172500417596;0.4542057788667325;0.5503342833422661;0.13731825185570687;0.1006618560341642;0.07499304595112766;0.4573670921807437;0.46726699231226326;0.1747491689837733;0.10738549836434196;0.1507279908168805;0.4535405527356564;0.2912829160174113;0.3354640460465818;0.2779260723385241;0.26292188103636216;0.47204569306678523;0.5153343374582832;0.6351360375748852;0.6218717815750111;0.01668724894932098;0.15428140934798587;0.012259180635401407;0.1051296804015814;0.08504924065985184;0.22538768711682491;0.10325212421532567;0.06706190849427947;0.16676992654528597;0.2790846706170639;0.10656045720461257;0.14698749637239944;0.16536010264577056;0.16351762477694842;0.24917671768747626;0.05565716112513549;0.068844358017437;0.1268820796196001;0.042998593143934075;0.01810049594167079;0.007527442943366537;0.1588938504866204;0.11959145911751105;0.02149666046324999;0.2578144449608487;0.18908564144464296;0.16334408017635405;0.08008840150742116;0.11745928989661818;0.3804116267036508;0.21060225090747925;0.13003053061968295;0.06705052173794065;0.25821480056049395;0.11131731720939345;0.3570496034707546;0.19002736689731417;0.4106697831657074;0.34458098139131177;0.3575681254046654;0.282569431297855;0.02137530742323432;0.3369750587276278;0.13003889497593493;0.2601199618966452;0.19425299316912703;0.0;0.18669711951901652;0.22864878766139102;0.01599464393139299;0.35902182462962706;0.10225959204630411;0.06618086865894826;0.24073082218941122;0.0;0.05127298444130127;0.9035758289721855;0.9754693947667898;0.9758658828616178
